task_id,family_id,system,novelty_fraction,realized_novelty,length,tokens,tokens_f10,per_hit,browser_calls,latency_ms,success,false_accept,unknown,confidence,probeHit,ttlValid,etagMatched,auditorBlocked,frontierHit,frontierCrossFamilyAdoption,cacheHit,auditorFetchMiss,retrieval_hit,toolHit,qcr_jaccard,frontier_jaccard,provenanceHash,verify_passed,hit
task_0006,family_01,B-COLD,0.0,0.0,9,4550,4550,505.55555555555554,19,9120,1,0,0,0.9505,0,0,0,0,0,0,0,0,0,0,1.0,0.0,,1,0
task_0006,family_01,B-RAG-EMBED,0.0,0.0,9,700,700,55.55555555555556,11,1350,1,0,0,0.9505,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0006,family_01,B-STAGEHAND-CACHE,0.0,0.0,9,500,500,55.55555555555556,10,1200,1,0,0,0.9505,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0006,family_01,B-TERX-REPLAY,0.0,0.0,9,500,500,55.55555555555556,10,1200,1,0,0,0.9505,0,0,0,0,0,0,0,0,1,0,1.0,0.0,,1,1
task_0006,family_01,P-SPIDER-MEA-BATCHED,0.0,0.0,9,870,870,62.22222222222222,13,1405,1,0,0,0.99,0,0,0,0,1,0,1,0,1,0,1.0,1.0,ca07292f3a103716,1,1
task_0006,family_01,P-WEBMCP-TOOL,0.0,0.0,9,705,705,66.66666666666667,12,1290,1,0,0,0.99,0,0,0,0,0,0,0,1,1,1,0.0,0.0,ca07292f3a103716,1,1
task_0006,family_01,NC1-SHUFFLED,0.0,0.0,9,870,870,62.22222222222222,12,1340,1,0,0,0.99,1,1,1,0,0,0,0,1,0,0,0.0,0.0,ff64d8b15e91a76a,1,1
task_0006,family_01,NC2-RANDOM,0.0,0.0,9,1370,1370,117.77777777777777,14,2340,0,1,0,0.9387445381911407,1,1,1,0,0,0,0,1,0,0,0.0,0.0,e235de708c81b888,0,1
task_0006,family_01,NC3-LENGTH,0.0,0.0,9,4550,4550,500.0,19,9120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0006,family_01,NC4-ABLATION,0.0,0.0,9,830,830,57.77777777777778,13,1315,1,0,0,0.9501,1,1,1,0,1,0,1,0,1,0,1.0,1.0,ca07292f3a103716,1,1
task_0007,family_01,B-COLD,0.5,0.5,9,4550,4550,505.55555555555554,19,9120,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.5,0.0,,1,0
task_0007,family_01,B-RAG-EMBED,0.5,0.5,9,2500,2500,255.55555555555554,15,4870,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.5,0.0,,1,1
task_0007,family_01,B-STAGEHAND-CACHE,0.5,0.5,9,4550,4550,505.55555555555554,19,9120,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.5,0.0,,1,0
task_0007,family_01,B-TERX-REPLAY,0.5,0.5,9,4550,4550,505.55555555555554,19,9120,1,0,0,0.99,0,0,0,0,0,0,0,0,1,0,0.5,0.0,,1,0
task_0007,family_01,P-SPIDER-MEA-BATCHED,0.5,0.5,9,920,920,67.77777777777777,13,1380,1,0,0,0.9511,1,1,1,0,1,0,0,1,1,0,0.5,1.0,2211075250bdd41d,1,1
task_0007,family_01,P-WEBMCP-TOOL,0.5,0.5,9,1025,1025,102.22222222222223,13,2015,1,0,0,0.99,1,1,1,0,0,0,1,0,1,1,0.0,0.0,2211075250bdd41d,1,1
task_0007,family_01,NC1-SHUFFLED,0.5,0.5,9,1720,1720,156.66666666666666,14,3125,1,0,1,0.8373676215123746,0,0,0,0,0,0,1,0,0,0,0.0,0.0,659873a4b397af66,0,0
task_0007,family_01,NC2-RANDOM,0.5,0.5,9,1810,1810,166.66666666666666,14,3190,1,0,1,0.8202110137391205,0,0,0,0,0,0,0,1,0,0,0.0,0.0,ad1dc56a0d51e78c,0,0
task_0007,family_01,NC3-LENGTH,0.5,0.5,9,4550,4550,500.0,19,9120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0007,family_01,NC4-ABLATION,0.5,0.5,9,830,830,57.77777777777778,13,1315,1,0,0,0.9612,1,1,1,0,1,0,1,0,1,0,0.5,1.0,2211075250bdd41d,1,1
task_0008,family_01,B-COLD,0.75,1.0,9,4550,4550,505.55555555555554,19,9120,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0008,family_01,B-RAG-EMBED,0.75,1.0,9,4750,4750,505.55555555555554,20,9270,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0008,family_01,B-STAGEHAND-CACHE,0.75,1.0,9,4550,4550,505.55555555555554,19,9120,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0008,family_01,B-TERX-REPLAY,0.75,1.0,9,4550,4550,505.55555555555554,19,9120,1,0,0,0.99,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0008,family_01,P-SPIDER-MEA-BATCHED,0.75,1.0,9,1680,1680,152.22222222222223,14,3035,1,0,1,0.01,1,1,1,1,0,0,1,0,0,0,0.0,0.0,f25088aa6fbc7f5c,0,0
task_0008,family_01,P-WEBMCP-TOOL,0.75,1.0,9,1475,1475,152.22222222222223,14,2895,1,0,1,0.01,1,1,1,1,0,0,1,0,1,1,0.0,0.0,f25088aa6fbc7f5c,0,0
task_0008,family_01,NC1-SHUFFLED,0.75,1.0,9,1680,1680,152.22222222222223,14,3035,1,0,1,0.7850481499622872,1,1,1,0,0,0,1,0,0,0,0.0,0.0,54a353b49cab44a1,0,0
task_0008,family_01,NC2-RANDOM,0.75,1.0,9,1770,1770,162.22222222222223,14,3100,1,0,0,0.9734,1,1,1,0,0,0,0,1,0,0,0.0,0.0,803084db4250daa9,1,1
task_0008,family_01,NC3-LENGTH,0.75,1.0,9,4550,4550,500.0,19,9120,1,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,1,0
task_0008,family_01,NC4-ABLATION,0.75,1.0,9,1680,1680,152.22222222222223,14,3035,1,0,1,0.01,1,1,1,1,0,0,1,0,0,0,0.0,0.0,f25088aa6fbc7f5c,0,0
