task_id,family_id,template_id,novelty_fraction,length,system,success,false_accept,unknown,precision,tokens,browser_calls,latency_ms,reused_steps,hit,verify_passed,repair_triggered,confidence,ECE_bin
task_0008,family_01,template_01,0.75,9,NC2-RANDOM,1,0,0,1,4750,19,9270,0,1,1,1,0.8,4
task_0008,family_01,template_01,0.75,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0009,family_01,template_01,1.0,9,P-SPIDER-PARAM,1,0,1,0,4850,19,9270,0,0,1,0,0.0,0
task_0009,family_01,template_01,1.0,9,B-COLD,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0009,family_01,template_01,1.0,9,B-INSTRUCTION,1,0,0,1,4570,19,9120,0,0,1,0,0.5,2
task_0009,family_01,template_01,1.0,9,B-RAG-EMBED,1,0,0,1,4750,19,9270,0,0,1,0,0.5,2
task_0009,family_01,template_01,1.0,9,B-STAGEHAND-CACHE,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0009,family_01,template_01,1.0,9,B-TERX-REPLAY,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0009,family_01,template_01,1.0,9,NC1-SHUFFLED,1,0,1,0,4850,19,9270,0,0,1,0,0.033296233322647674,0
task_0009,family_01,template_01,1.0,9,NC2-RANDOM,1,0,0,1,4750,19,9270,0,1,1,1,0.8,4
task_0009,family_01,template_01,1.0,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,P-SPIDER-PARAM,1,0,1,0,4850,19,9270,0,0,1,0,0.536793715232047,2
task_0010,family_01,template_01,0.25,9,B-COLD,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,B-INSTRUCTION,1,0,0,1,4570,19,9120,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,B-RAG-EMBED,1,0,0,1,4750,19,9270,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,B-STAGEHAND-CACHE,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,B-TERX-REPLAY,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0010,family_01,template_01,0.25,9,NC1-SHUFFLED,1,0,1,0,4850,19,9270,0,0,1,0,0.0,0
task_0010,family_01,template_01,0.25,9,NC2-RANDOM,1,0,0,1,4750,19,9270,0,1,1,1,0.8,4
task_0010,family_01,template_01,0.25,9,B-LENGTH-PROPORTIONAL,1,0,0,1,4550,19,9120,0,0,1,0,0.5,2
task_0011,family_01,template_01,0.5,9,P-SPIDER-PARAM,1,0,1,0,4850,19,9270,0,0,1,0,0.46933026132734895,2
